,Unnamed: 0,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,NOME_MUNICIPIO,ANO_BO,NUM_BO,VERSAO,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,NOME_MUNICIPIO_CIRC,DATA_OCORRENCIA_BO,HORA_OCORRENCIA,DESCRICAO_APRESENTACAO,DATAHORA_REGISTRO_BO,DATA_COMUNICACAO_BO,DATAHORA_IMPRESSAO_BO,DESCR_PERIODO,AUTORIA_BO,FLAG_INTOLERANCIA,TIPO_INTOLERANCIA,FLAG_FLAGRANTE,FLAG_STATUS,DESC_LEI,FLAG_ATO_INFRACIONAL,RUBRICA,DESCR_CONDUTA,DESDOBRAMENTO,CIRCUNSTANCIA,DESCR_TIPOLOCAL,DESCR_SUBTIPOLOCAL,CIDADE,BAIRRO,CEP,LOGRADOURO_VERSAO,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,CONT_OBJETO,DESCR_MODO_OBJETO,DESCR_TIPO_OBJETO,DESCR_SUBTIPO_OBJETO,DESCR_UNIDADE,QUANTIDADE_OBJETO,MARCA_OBJETO,FLAG_BLOQUEIO,FLAG_DESBLOQUEIO,MES,ANO,PERIODO_DO_DIA
3541,3541,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MJ2792,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-18,,Pela Parte Interessada,2023-09-19,2023-09-18,2023-09-19,A tarde,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Outros,,,Via Pública,Via Pública,RIBEIRAO PRETO,CAMPOS ELISEOS,14085460.0,1,RUA GOIÁS,1054.0,-21.1681787949534,-47.8020750181627,1004771275,Subtraído,Telecomunicação,Telefone Celular,,1,Xiaomi,S,N,9,2023,
3542,3542,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MK3336,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-18,,Pela Parte Interessada,2023-09-19,2023-09-18,2023-09-19,A noite,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Outros,,,Via Pública,Via Pública,RIBEIRAO PRETO,INDEPENDENCIA,14076330.0,1,RUA LASAR SAGAL,613.0,-21.1494309699677,-47.7871308864838,1004778182,Subtraído,Telecomunicação,Telefone Celular,,1,Samsung,S,N,9,2023,
3543,3543,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MK9219,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-19,,Pela Parte Interessada,2023-09-20,2023-09-19,2023-09-20,A noite,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Outros,,,Via Pública,Via Pública,RIBEIRAO PRETO,CAMPOS ELISEOS,14085460.0,1,RUA GOIÁS,1475.0,-21.1679342,-47.802252,1004781743,Subtraído,Telecomunicação,Telefone Celular,,1,Motorola,S,N,9,2023,
3544,3544,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MK9613,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-19,,Pela Parte Interessada,2023-09-20,2023-09-19,2023-09-20,A tarde,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Outros,,,,,RIBEIRAO PRETO,CAMPOS ELISEOS,14085670.0,1,AVENIDA SAUDADE,2117.0,-21.1557191,-47.7959706,1004781970,Subtraído,Telecomunicação,Telefone Celular,,1,Samsung,S,N,9,2023,
3545,3545,100919,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,CPJ RIBEIRAO PRETO,RIBEIRAO PRETO,2023,ML5753,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-20,06:00:00,Pela Parte Interessada,2023-09-20,2023-09-20,2023-09-20,,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Interior de Veículo,,,Via Pública,Via Pública,RIBEIRAO PRETO,JARDIM SALGADO FILHO,14078010.0,1,RUA AMERICANA,3600.0,-21.132318687,-47.773156253,1004786081,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Samsung,S,N,9,2023,Manhã
3546,3546,100919,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,CPJ RIBEIRAO PRETO,RIBEIRAO PRETO,2023,MM0741,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-20,09:14:13,Pela Parte Interessada,2023-09-20,2023-09-20,2023-09-20,,D,N,,N,CONSUMADO,Código Penal,N,Furto (art. 155),Interior Estabelecimento,,,Estabelecimento de Ensino,Ensino Superior,RIBEIRAO PRETO,MOURA LACERDA,,1,VEDAÇÃO DA DIVULGAÇÃO DOS DADOS RELATIVOS,,0.0,0.0,1004789379,Subtraído,Telecomunicação,Telefone Celular,Unidade,1,Apple,S,N,9,2023,Manhã
3547,3547,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MM6439,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-15,,Pela Parte Interessada,2023-09-21,2023-09-20,2023-09-21,A noite,D,N,,N,CONSUMADO,Não Criminal,N,Perda/Extravio,,,,Via Pública,Via Pública,RIBEIRAO PRETO,CAMPOS ELISEOS,14080040.0,1,RUA SERGIPE,236.0,-21.1672599551306,-47.8098324346233,1004792833,Subtraído,Telecomunicação,Telefone Celular,,1,Samsung,N,N,9,2023,
3548,3548,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MM7978,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-20,21:30:00,Pela Parte Interessada,2023-09-21,2023-09-20,2023-09-21,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Outros,,,,,RIBEIRAO PRETO,CAMPOS ELISEOS,14080030.0,1,RUA MAJOR CARVALHO,211.0,-21.1617568,-47.8044431,1004794075,Subtraído,Telecomunicação,Telefone Celular,,1,Samsung,S,N,9,2023,Noite
3549,3549,900020,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA,RIBEIRAO PRETO,2023,MM8025,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-19,,Pela Parte Interessada,2023-09-21,2023-09-21,2023-09-21,A noite,D,N,,N,CONSUMADO,Não Criminal,N,Perda/Extravio,,,,Via Pública,Via Pública,RIBEIRAO PRETO,JD MOSTEIRO,14085070.0,1,RUA TAMANDARÉ,321.0,,,1004794118,Subtraído,Telecomunicação,Telefone Celular,,1,Samsung,N,N,9,2023,
3550,3550,900023,DIPOL - DEPTO DE INTELIGENCIA,DELEGACIA ELETRONICA,DELEGACIA ELETRONICA 3,RIBEIRAO PRETO,2023,MN5170,1,DEINTER 3 - RIBEIRAO PRETO,DEL.SEC.RIBEIRAO PRETO,02º D.P. RIBEIRAO PRETO,RIBEIRAO PRETO,2023-09-21,14:00:00,Pela Parte Interessada,2023-09-21,2023-09-21,2023-09-21,,D,N,,N,CONSUMADO,Código Penal,N,Roubo (art. 157),Estabelecimento-Outros,,"§ 2ºA, I - Se a violência ou ameaça é exercida com emprego de arma de fogo ",Via Pública,Via Pública,RIBEIRAO PRETO,CAMPOS ELISEOS,14076110.0,1,AVENIDA PARIS,843.0,-21.1645186219999,-47.800931388,1004798832,Subtraído,Telecomunicação,Telefone Celular,,1,Xiaomi,N,N,9,2023,Tarde
